0,10,10,10,10,1,,20,30,40
1,5,5,10,7,0,,10,20,27
2,4,3,8,10,0,,7,15,25
3,8,6,10,10,0,,14,24,34
4,6,4,8,5,0,,10,18,23
5,4,7,9,6,0,,11,20,26
6,4,6,10,5,1,,10,20,25
7,9,5,10,5,0,,14,24,29
8,1,3,6,10,1,,4,10,20
9,6,6,9,8,0,,12,21,29
10,4,5,7,6,0,,9,16,22
11,9,8,10,7,1,,17,27,34
12,7,6,10,4,1,,13,23,27
13,6,6,7,10,1,,12,19,29
14,2,6,9,9,0,,8,17,26
15,5,7,9,9,0,,12,21,30
16,3,5,9,5,0,,8,17,22
17,8,7,9,5,0,,15,24,29
18,7,9,8,10,1,,16,24,34
19,6,7,9,10,1,,13,22,32
20,6,8,7,7,0,,14,21,28
21,6,8,7,9,0,,14,21,30
22,6,7,10,9,1,,13,23,32
23,5,6,9,8,0,,11,20,28
24,2,5,10,6,0,,7,17,23
25,8,7,7,8,0,,15,22,30
26,8,9,10,9,1,,17,27,36
27,7,8,7,8,0,,15,22,30
28,5,7,9,7,0,,12,21,28
29,5,8,7,6,0,,13,20,26
30,8,9,10,10,1,,17,27,37
31,5,7,10,9,0,,12,22,31
32,6,7,7,8,0,,13,20,28
33,5,6,7,8,0,,11,18,26
34,5,8,9,8,0,,13,22,30
35,7,8,10,9,1,,15,25,34
36,4,7,10,10,1,,11,21,31
37,5,6,9,5,,,11,20,25
38,7,7,7,8,,,14,21,29
39,6,8,8,8,,,14,22,30
40,6,2,9,8,,,8,17,25
41,7,4,9,5,,,11,20,25
42,6,7,9,5,,,13,22,27
43,6,8,9,8,,,14,23,31
44,8,9,10,10,,,17,27,37
45,6,6,9,5,,,12,21,26
46,5,2,9,5,,,7,16,21
47,6,6,9,5,,,12,21,26
48,8,5,10,5,,,13,23,28
49,6,2,8,9,,,8,16,25
50,7,3,7,7,,,10,17,24